storm_id,track_time,track_name,storm_type,storm_cat,advisory,directionDEG,speed,wind_speed,gust_speed,pressure,lon,lat
2025-AL-07,2025-09-17T05:00:00-04:00,Tropical Depression Seven,TD,TD,1,280,11,56,,1007,-45.9,13.7
2025-AL-07,2025-09-17T11:00:00-04:00,Tropical Storm Gabrielle,TS,TS,2,330,19,72,,1006,-46.6,17.5
2025-AL-07,2025-09-17T17:00:00-04:00,Tropical Storm Gabrielle,TS,TS,3,310,12,80,,1005,-48.0,19.4
2025-AL-07,2025-09-17T23:00:00-04:00,Tropical Storm Gabrielle,TS,TS,4,300,14,80,,1004,-49.5,19.5
2025-AL-07,2025-09-18T05:00:00-04:00,Tropical Storm Gabrielle,TS,TS,5,300,13,80,,1004,-50.3,20.0
2025-AL-07,2025-09-18T11:00:00-04:00,Tropical Storm Gabrielle,TS,TS,6,300,13,80,,1004,-51.7,20.3
2025-AL-07,2025-09-18T17:00:00-04:00,Tropical Storm Gabrielle,TS,TS,7,300,11,80,,1004,-52.7,20.8
2025-AL-07,2025-09-18T23:00:00-04:00,Tropical Storm Gabrielle,TS,TS,8,295,10,80,,1004,-53.4,21.2
2025-AL-07,2025-09-19T05:00:00-04:00,Tropical Storm Gabrielle,TS,TS,9,300,10,80,,1004,-54.8,21.9
2025-AL-07,2025-09-19T11:00:00-04:00,Tropical Storm Gabrielle,TS,TS,10,305,10,80,,1004,-55.6,21.9
2025-AL-07,2025-09-19T17:00:00-04:00,Tropical Storm Gabrielle,TS,TS,11,300,10,80,,1004,-56.6,22.4
2025-AL-07,2025-09-19T23:00:00-04:00,Tropical Storm Gabrielle,TS,TS,12,310,10,80,,1004,-57.2,23.6
2025-AL-07,2025-09-20T05:00:00-04:00,Tropical Storm Gabrielle,TS,TS,13,315,11,80,,1004,-58.1,24.3
2025-AL-07,2025-09-20T14:00:00-04:00,Tropical Storm Gabrielle,TS,TS,14,325,11,105,,996,-58.7,25.2
2025-AL-07,2025-09-20T17:00:00-04:00,Tropical Storm Gabrielle,TS,TS,15,325,9,105,,996,-59.0,25.6
2025-AL-07,2025-09-20T23:00:00-04:00,Tropical Storm Gabrielle,TS,TS,16,335,8,105,,996,-59.2,26.3
