id,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,license,price_in_USD,long_term,price_per_night
197677,Oshiage Holiday Apartment,Yoshimi & Marek,Sumida Ku,35.71707,139.82608,Entire home/apt,10400,3,183,1,m130003350,67.09677419354838,False,3467
905944,4F Spacious Apartment in Shinjuku / Shibuya Tokyo,Best Stay In Tokyo!,Shibuya Ku,35.67878,139.67847,Entire home/apt,27735,5,254,8,hotels and inns business act | 渋谷区保健所長 | 31渋健生収第4972号,178.93548387096774,False,5547
1016831,5 mins Shibuya Cat modern sunny  Shimokita,Wakana,Setagaya Ku,35.658,139.67134,Private room,25143,2,276,1,m130001107,162.21290322580646,False,12572
1196177,Homestay at Host's House -  Senju-Ohashi Station,Yukiko,Adachi Ku,35.74363,139.79852,Private room,6243,2,140,1,m130007760,40.27741935483871,False,3122
1249571,Unique stay! New&1min to the subway,Yume,Shibuya Ku,35.65111,139.72165,Entire home/apt,56751,8,143,1,m130000957,366.13548387096773,False,7094
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,Haruko,Setagaya Ku,35.60742,139.67616,Private room,11395,3,202,1,m130000057,73.51612903225806,False,3798
1268465,Private APT 8min from JR Ebisu station,Sugi,Meguro Ku,35.63953,139.7097,Entire home/apt,11425,4,30,1,hotels and inns business act | 目黒区保健所 | 目健衛環き第１００号,73.70967741935483,False,2856
1298200,Pine House 2 Bed Room + 2 Toilets,K Family,Katsushika Ku,35.73987,139.85176,Entire home/apt,46012,3,415,6,m130009943,296.8516129032258,False,15337
1306664,3rd floor penthouse  heart of TKO,Masaharu,Shinjuku Ku,35.70263,139.74147,Entire home/apt,44000,3,219,5,m130003681,283.8709677419355,False,14667
1394124,Solar power/Car space/near to park,David,Meguro Ku,35.62039,139.69983,Entire home/apt,32271,2,333,1,hotels and inns business act | 目黒区保健所 | 目健衛環き第88号,208.2,False,16136
1394409,Room in Mejiro/Ikebukuro (2of2) for 1 person,Yayoi,Toshima Ku,35.72415,139.70151,Private room,6000,3,236,2,m130000166,38.70967741935484,False,2000
1394737,Room in Mejiro/Ikebukuro (1of2) for 1 person,Yayoi,Toshima Ku,35.7241,139.70343,Private room,5500,7,241,2,m130000166,35.483870967741936,False,786
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,Min & Haru,Shinjuku Ku,35.69857,139.704,Private room,15259,2,219,13,m130002186,98.44516129032257,False,7630
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,Min & Haru,Shinjuku Ku,35.69848,139.70432,Private room,12800,2,176,13,m130002186,82.58064516129032,False,6400
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,Min & Haru,Shinjuku Ku,35.69847,139.70433,Shared room,7980,2,207,13,m130002186,51.483870967741936,False,3990
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,Min & Haru,Shinjuku Ku,35.69848,139.70433,Shared room,7741,2,170,13,m130002186,49.94193548387097,False,3870
1600454,"cute room, safty residential area in west-Tokyo",Mari,Setagaya Ku,35.65897,139.60988,Private room,4275,2,56,1,m130000196,27.580645161290324,False,2138
1732795,"4 Bed-rooms, 2 toilets, shower, Traditional rooms",K Family,Katsushika Ku,35.73784,139.85201,Entire home/apt,53440,3,408,6,hotels and inns business act | 葛飾区保健所 | 4葛保生環令第75号,344.7741935483871,False,17813
1749157,6部屋の大邸宅で贅沢なプライベートステイ,DeepTokyo,Ota Ku,35.58958,139.72636,Entire home/apt,150000,3,67,10,m130032025,967.741935483871,False,50000
1919541,Share House 'Miraie' JR Osaki (Special discuont),Li Hsuan,Shinagawa Ku,35.61794,139.72313,Private room,10409,2,243,4,m130001466,67.15483870967742,False,5204
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,Ryusuke,Setagaya Ku,35.63858,139.64624,Entire home/apt,28233,2,137,1,m130000611,182.1483870967742,False,14116
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",Azabu,Minato Ku,35.65819,139.72722,Entire home/apt,118571,5,169,3,m130001980,764.9741935483871,False,23714
2080626,3F Smal BdRm inShared house with Queen bed. NO AC!,DeepTokyo,Ota Ku,35.58862,139.72755,Private room,13200,20,66,10,m130032025,85.16129032258064,False,660
2129325,3 min JR Omori St  A tranquil Japanese-style room.,DeepTokyo,Shinagawa Ku,35.60856717380348,139.73377635413345,Private room,20166,3,28,10,m130032025,130.1032258064516,False,6722
2129455,3 min JR Omori St A Serene Japanese Retreat,DeepTokyo,Shinagawa Ku,35.60698,139.73474,Private room,20003,3,19,10,m130032025,129.05161290322582,False,6668
2238472,Spacious! Shibuya House w/Garden,Kako & Keiko,Shibuya Ku,35.67191,139.68367,Private room,37050,2,171,1,m130000961,239.03225806451613,False,18525
2491507,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No5 シェアルーム,Min & Haru,Shinjuku Ku,35.69847,139.70433,Shared room,7980,2,102,13,m130002186,51.483870967741936,False,3990
2602722,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No2 ドミトリールーム,Min & Haru,Shinjuku Ku,35.69848,139.70433,Shared room,7980,2,202,13,m130002186,51.483870967741936,False,3990
2602791,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No6 ドミトリールーム,Min & Haru,Shinjuku Ku,35.69848,139.70435,Shared room,7980,2,85,13,m130002186,51.483870967741936,False,3990
2645379,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No7 シェアルーム,Min & Haru,Shinjuku Ku,35.69848,139.70433,Shared room,7980,2,78,13,m130002186,51.483870967741936,False,3990
2867835,Cozy Apartment 2 Min Walk from Takenotsuka,Vann Amor,Adachi Ku,35.79124,139.79102,Entire home/apt,12914,6,12,4,m130004932,83.31612903225806,False,2152
2883497,東京下町生活,Kota,Taito Ku,35.72208,139.78049,Entire home/apt,23057,1,328,1,hotels and inns business act | 東京都台東区台東保健所 | 30台台健生環き第79号,148.75483870967741,False,23057
2883753,Cozy 2-Min Walk to Takenotsuka – Explore Tokyo,Vann Amor,Adachi Ku,35.791368746081226,139.79204721255772,Entire home/apt,12914,6,8,4,m130004931,83.31612903225806,False,2152
2883869,Charming Studio Near Takenotsuka Station,Vann Amor,Adachi Ku,35.79166,139.79285,Entire home/apt,6266,7,13,4,m130004934,40.4258064516129,False,895
3085134,"""HirooHouse""3Rm, 6 guests, 2minWalk/HIROO Stn.",Azabu,Shibuya Ku,35.65174,139.72175,Entire home/apt,55840,5,165,3,m130003771,360.258064516129,False,11168
3235958,Enjoy Simple Life in Tokyo (1),Kaori,Itabashi Ku,35.78156,139.63309,Entire home/apt,8051,1,125,2,m130000056,51.94193548387097,False,8051
3339222,Enjoy Simple Life in Tokyo (2),Kaori,Itabashi Ku,35.77932,139.63338,Entire home/apt,8134,1,82,2,m130000055,52.47741935483871,False,8134
3364169,Asakusa friendly family type apt,Hirano San,Taito Ku,35.7223,139.80049,Entire home/apt,13071,5,159,2,m130000147,84.32903225806452,False,2614
3372902,アジアンミックステイストの癒される空間,Miri,Meguro Ku,35.61728,139.6679,Entire home/apt,7020,2,161,1,m540000008,45.29032258064516,False,3510
3389878,3 min JR Omori St A quiet single room surrounded.,DeepTokyo,Shinagawa Ku,35.60689,139.73412,Private room,14835,1,22,10,m130032025,95.70967741935483,False,14835
3427384,Tatoo ok! Onsen of 400 years of history【禅】,Masakatsu,Edogawa Ku,35.68374,139.85971,Entire home/apt,7777,2,171,2,hotels and inns business act | 東京都江戸川区保健所 | 18江衛環01第42号,50.174193548387095,False,3888
5641920,312 Furnished Private Apt.,タツロウ (Taturo),Nakano Ku,35.7348,139.63141,Entire home/apt,11350,3,38,11,hotels and inns business act | 中野区保健所 |  30中環生環第52号,73.2258064516129,False,3783
